1.7761,1.2826
-0.0245,2.0626
1.3562,0.3658
1.3539,0.3667
-0.0546,1.9383
2.3346,2.0646
2.1247,1.7221
-0.3470,1.7715
2.2731,2.1931
2.3162,2.1963
1.6954,1.3016
2.0253,1.5294
1.3483,0.3938
-0.3742,1.6433
-0.1866,1.8934
-0.3153,1.6291
1.3443,0.4016
1.8147,2.0187
1.3476,0.4043
1.8136,2.0302
-0.3854,1.8778
-0.3747,1.4409
1.3573,0.4042
2.1543,1.8011
1.3447,0.4338
2.2926,2.1719
1.3494,0.4228
1.7227,2.1759
2.0831,1.8546
2.0731,1.9157
-0.2282,1.9969
2.1144,2.0892
2.2542,2.0328
1.8942,2.2016
-0.1753,1.1812
-0.1645,1.5400
1.6947,0.9219
1.8248,1.4088
1.3524,0.5234
1.3645,0.4267
-0.4105,1.9868
2.0038,1.6852
-0.1343,0.8407
-0.1788,1.8472
-0.1873,1.8801
1.7741,1.1025
-0.3803,1.8034
-0.1770,1.2150
1.3670,0.4426
1.3529,0.4519
-0.1445,1.5309
1.3497,0.4727
1.8140,2.0002
1.9532,1.8588
1.3821,0.4559
1.6543,1.3185
-0.3776,1.7125
1.7818,2.0308
1.3540,0.4647
1.3484,0.4834
-0.0275,1.9456
1.3506,0.4831
-0.3659,1.9828
-0.3670,2.0518
1.6544,1.3011
-0.1140,1.6506
1.8648,1.6433
1.3775,0.4840
1.3498,0.4924
2.1248,1.7080
-0.3356,1.8899
1.7027,1.7388
-0.3659,1.4920
-0.3676,1.8247
-0.1638,1.9823
1.9925,1.8332
1.6767,1.0317
1.9544,1.9664
1.3972,0.4934
1.3491,0.5032
-0.2454,2.0401
-0.2360,1.4302
-0.3947,1.9792
2.2954,2.2098
1.3770,0.5031
-0.0149,1.6098
1.3547,0.5016
1.4074,0.5133
1.3491,0.5136
-0.0054,0.9290
1.9835,1.5146
0.6164,-0.0086
1.3773,0.5136
1.3435,0.5394
1.3469,0.5330
1.3872,0.5240
2.2447,2.1636
1.7762,1.2925
-8.5409,3.3457
0.6166,-0.0143
1.3881,0.5314
1.3463,0.5403
-0.1181,0.6713
1.3918,0.5318
1.3788,0.5314
1.9447,1.5004
1.4206,0.5327
1.4025,0.5332
2.1558,2.1566
1.4070,0.5435
1.3868,0.5441
1.3676,0.5460
1.4067,0.5537
-0.3732,1.6301
1.3876,0.5604
1.9738,1.9847
-0.0149,1.0498
-0.0266,1.6330
0.3757,1.2814
-0.1650,1.4587
2.1052,1.9186
-0.1377,0.7018
1.3875,0.5649
-0.3247,1.3937
1.6947,1.2102
1.6846,1.8436
2.1013,1.9021
1.8450,1.4309
1.9560,1.6121
2.0050,1.8886
-0.3432,1.4097
-0.3696,1.8223
-0.1569,1.2972
-0.3471,1.7309
1.6847,1.9453
1.8255,1.5426
1.7644,1.8784
2.2412,2.1504
-0.1869,1.2811
-0.3831,1.4735
1.8246,1.5318
-0.3736,1.7606
-0.1798,1.1159
-0.1158,1.2113
0.7461,-0.0086
-0.1444,0.7705
1.8134,1.2816
-0.1752,1.4502
1.9335,1.8029
1.7145,1.8545
-0.1246,1.0090
1.8445,1.8400
-0.3897,1.8705
1.6730,0.8432
-0.1782,1.4396
-0.1679,1.6196
1.6838,0.8602
2.0031,2.0101
1.9046,1.5133
-0.3158,1.7326
-0.3668,1.8337
2.2256,1.9600
-0.0252,1.2512
-0.0370,1.9045
-0.2039,2.0975
-0.1343,1.0404
-0.0370,1.8809
-0.2584,1.9367
1.9930,1.4740
1.7640,1.2403
0.2752,1.3380
2.1453,2.1714
2.2726,2.0879
-0.1845,1.3218
1.8884,1.6513
-0.1164,1.2005
2.3131,2.1226
2.1750,2.0234
1.6840,1.5618
1.7142,1.1131
1.7053,1.7589
1.7641,1.3303
-0.1454,0.8811
-0.1040,1.9743
-0.1634,0.8895
-0.1441,0.8906
-0.2353,1.3303
2.1128,1.8307
1.6780,1.2407
1.6622,1.5124
1.6751,0.8825
1.7016,0.9211
-0.3454,1.7587
1.6950,0.9308
